headline,url,author,pubdate
Stanford battles Oregon State for 15-14 win,http://registerguard.com/rg/photo/36090020-321/stanford-battles-oregon-state-for-15-14-win.html.csp,Andy Nelson,2017-10-26 22:11:01
Winners of the 2017 Associated Press Northwest photo competition announced,http://registerguard.com/rg/news/local/36085069-75/winners-of-the-2017-associated-press-northwest-photo-competition.html.csp,The Associated Press,2017-10-25 14:12:02
2017 Oregon football: Oregon vs. UCLA,http://registerguard.com/rg/photo/36069357-321/2017-oregon-football-oregon-vs.-ucla.csp,Chris Pietsch,2017-10-21 14:56:01
Fall is in the air,http://registerguard.com/rg/photo/36064058-321/fall-is-in-the-air.html.csp,Staff Photographers,2017-10-18 16:30:01
2017 Oregon football: Oregon vs. Stanford,http://registerguard.com/rg/photo/36049577-321/2017-oregon-football-oregon-vs.-stanford.csp,Andy Nelson,2017-10-14 20:17:01
"Rose Children's Theatre's ""Schoolhouse Rock Jr. Live!""",http://registerguard.com/rg/photo/36043793-321/rose-childrens-theatres-schoolhouse-rock-jr.-live.csp,Andy Nelson,2017-10-11 16:07:01
2017 Oregon football: Oregon vs. No. 11 Washington State,http://registerguard.com/rg/photo/36028527-321/2017-oregon-football-oregon-vs.-no.-11-washington-state.csp,"Collin Andrew, Brian Davies and Andy Nelson",2017-10-07 22:09:24
Pair of scoop and scores lift Churchill to win over Marist,http://registerguard.com/rg/photo/36030688-321/pair-of-scoop-and-scores-lift-churchill-to-win-over-marist.html.csp,Collin Andrew,2017-10-07 08:33:02
Las Vegas concert shooting,http://registerguard.com/rg/photo/36028294-321/las-vegas-concert-shooting.html.csp,The Associated Press,2017-10-06 09:30:46
Milli Fire ravaged forests along scenic McKenzie Highway,http://registerguard.com/rg/photo/36025973-321/milli-fire-ravaged-forests-along-scenic-mckenzie-highway-.html.csp,Andy Nelson,2017-10-05 14:13:01
2017 Oregon football: Oregon vs. California,http://registerguard.com/rg/photo/36012501-321/2017-oregon-football-oregon-vs.-california.csp,"Collin Andrew, Carl Davaz, Brian Davies and Rhianna Gelhart",2017-09-30 22:21:03
"Scout leaders, volunteers return to Camp Melakwa",http://registerguard.com/rg/photo/36002705-321/scout-leaders-volunteers-return-to-camp-melakwa.html.csp,Andy Nelson,2017-09-27 22:21:02
2017 Oregon football: Oregon vs. Arizona State,http://registerguard.com/rg/photo/35974810-321/2017-oregon-football-oregon-vs.-arizona-state.csp,Andy Nelson,2017-09-24 15:09:45
Oregon Move-In Day,http://registerguard.com/rg/photo/35982102-321/oregon-move-in-day.html.csp,August Frank,2017-09-21 17:21:01
2017 Oregon football: Oregon vs. Wyoming,http://registerguard.com/rg/photo/35960335-321/2017-oregon-football-oregon-vs.-wyoming.csp,Brian Davies,2017-09-18 09:28:14
2017 Oregon football: Oregon vs. Nebraska,http://registerguard.com/rg/photo/35940204-321/2017-oregon-football-oregon-vs.-nebraska.csp,"Collin Andrew, Carl Davaz and Andy Nelson",2017-09-09 13:15:02
Fire and smoke,http://registerguard.com/rg/photo/35927118-321/fire-and-smoke.html.csp,The Register-Guard Photo Staff,2017-09-04 14:57:01
2017 Oregon football: Oregon vs. Southern Utah,http://registerguard.com/rg/photo/35916906-321/2017-oregon-football-oregon-vs.-southern-utah.csp,August Frank and Andy Nelson,2017-09-03 11:54:57
Fifty years at Autzen Stadium,http://registerguard.com/rg/photo/35914086-321/fifty-years-at-autzen-stadium.html.csp,The Register-Guard staff,2017-08-31 16:30:02
Smoke and Heat Envelope Willamette Valley,http://registerguard.com/rg/photo/35831758-321/smoke-and-heat-envelope-willamette-valley.html.csp,"Brian Davies, August Frank, Rhianna Gelhart and Andy Nelson",2017-08-04 11:26:01
2017 Oregon Football Fall Training Camp,http://registerguard.com/rg/photo/35819426-321/2017-oregon-football-fall-training-camp.html.csp,"Andy Nelson, Brian Davies, Chris Pietsch, Rhianna Gelhart and August Frank",2017-07-31 16:41:01
