headline,url,author,pubdate,video
Oregon Football: Fast and loud,http://registerguard.com/rg/video/36577669-319/oregon-football-fast-and-loud.html.csp,Chris Pietsch,2018-03-22 17:32:01,https://youtu.be/QB45uARFxNs
Bike wheels keep on turning,http://registerguard.com/rg/video/36559697-319/bike-wheels-keep-on-turning.html.csp,Kelly Lyon,2018-03-17 09:37:01,https://youtu.be/2B_PNs0htDw
Ducks try to impress at Pro Day,http://registerguard.com/rg/video/36554404-319/ducks-try-to-impress-at-pro-day.html.csp,Andy Nelson,2018-03-15 18:30:01,https://youtu.be/pUamtf3vsQc
NCAA Basketball and Play-dough,http://registerguard.com/rg/video/36554086-319/ncaa-basketball-and-play-dough.html.csp,Chris Pietsch,2018-03-15 16:55:01,https://youtu.be/JyjSzWtWnkQ
17 minutes of silence,http://registerguard.com/rg/video/36549734-319/17-minutes-of-silence.html.csp,Kelly Lyon,2018-03-14 13:24:02,https://youtu.be/aDVsY9vOhVc
Duck O-line leads the way,http://registerguard.com/rg/video/36544288-319/duck-o-line-leads-the-way.html.csp,Chris Pietsch,2018-03-12 22:00:02,https://youtu.be/4l1CpI_c12U
Oregon football adds new coaches,http://registerguard.com/rg/video/36539120-319/oregon-football-adds-new-coaches.html.csp,Chris Pietsch,2018-03-11 13:34:02,https://youtu.be/ePNeW2kUaqU
Oregon Spring Football,http://registerguard.com/rg/video/36533463-319/oregon-spring-football.html.csp,Chris Pietsch,2018-03-09 14:33:02,https://youtu.be/CU8ZcKpOoNM
Oregon Spring Football 2018,http://registerguard.com/rg/video/36526082-319/oregon-spring-football-2018.html.csp,Chris Pietsch,2018-03-07 13:26:01,https://youtu.be/HYVjKmujYf4
Tell Me a Story,http://registerguard.com/rg/video/36523793-319/tell-me-a-story.html.csp,Kelly Lyon,2018-03-06 19:57:01,https://youtu.be/JI8WncHAwgQ
UO breaks ground on Knight Campus,http://registerguard.com/rg/video/36508989-319/uo-breaks-ground-on-knight-campus.html.csp,Kelly Lyon,2018-03-02 16:17:01,https://youtu.be/rv7xFvQWrzs
