headline,url,author,pubdate
48th Annual Eugene ski swap,http://registerguard.com/rg/video/36091525-319/48th-annual-eugene-ski-swap.html.csp,Collin Andrew,2017-10-27 13:00:01
Good Walks: Sanctuary at Portland Japanese Garden,http://registerguard.com/rg/video/36091206-319/good-walks-sanctuary-at-portland-japanese-garden.html.csp,Kim Gilbert,2017-10-27 12:35:17
Tell me a story,http://registerguard.com/rg/video/36082684-319/tell-me-a-story.html.csp,Kelly Lyon,2017-10-24 19:12:01
Drone view of large pot farm,http://registerguard.com/rg/video/36070033-319/story.csp,Rob Romig,2017-10-21 21:55:01
"Signed, sealed, delivered",http://registerguard.com/rg/video/36062735-319/signed-sealed-delivered.html.csp,Kelly Lyon,2017-10-19 14:46:19
The Press Box: Oregon vs. UCLA,http://registerguard.com/rg/video/36067096-319/the-press-box-oregon-vs.-ucla.csp,Chris Pietsch,2017-10-19 14:31:00
Cannabis harvest party,http://registerguard.com/rg/video/36062729-319/cannabis-harvest-party.html.csp,Kelly Lyon,2017-10-18 08:46:34
The Oregon defense prepares for Love,http://registerguard.com/rg/video/36047035-319/the-oregon-defense-prepares-for-love.html.csp,Chris Pietsch,2017-10-12 17:17:01
Oregon Men's Basketball preview,http://registerguard.com/rg/sports/basketball/36039915-61/oregon-mens-basketball-preview.html.csp,Chris Pietsch,2017-10-10 12:09:01
Oregon Football: Freeman is back as QBs battle,http://registerguard.com/rg/video/36022928-319/oregon-football-freeman-is-back-as-qbs-battle.html.csp,Chris Pietsch,2017-10-04 13:41:01
Press Box Q&A: What’s up with the Pac-12 after dark?,http://registerguard.com/rg/video/36020314-319/press-box-qa-whats-up-with-the-pac-12-after-dark.html.csp,Chris Pietsch,2017-10-03 14:41:01
Good Walks: Hues and views on Dimple Hill,http://registerguard.com/rg/video/36007157-319/good-walks-hues-and-views-on-dimple-hill.html.csp,Kim Gilbert,2017-09-29 11:07:07
No excuses from Oregon O-line,http://registerguard.com/rg/video/36000347-319/no-excuses-from-oregon-o-line.html.csp,Chris Pietsch,2017-09-27 11:23:01
Press Box Q&A: Bigger seats and more parking?,http://registerguard.com/rg/video/35993349-319/press-box-qa-bigger-seats-and-more-parking.html.csp,Chris Pietsch,2017-09-25 10:35:01
Press Box Q&A: Nike and the budget?,http://registerguard.com/rg/video/35980832-319/press-box-qa-nike-and-the-budget.html.csp,Chris Pietsch,2017-09-21 10:01:01
The Press Box: Oregon's Pac-12 season begins,http://registerguard.com/rg/video/35978025-319/the-press-box-oregons-pac-12-season-begins.html.csp,Chris Pietsch,2017-09-20 12:36:02
Press Box Q&A: What keeps Rob Mullens up at night?,http://registerguard.com/rg/video/35973110-319/press-box-qa-what-keeps-rob-mullens-up-at-night.html.csp,Chris Pietsch,2017-09-18 21:10:01
Press Box: Post-game analysis of Oregon at Wyoming,http://registerguard.com/rg/video/35971294-319/press-box-post-game-analysis-of-oregon-at-wyoming.html.csp,Brian Davies,2017-09-18 09:36:01
Tell me a story,http://registerguard.com/rg/video/35970396-319/tell-me-a-story.html.csp,Kelly Lyon,2017-09-17 21:50:02
Emx goes west,http://registerguard.com/rg/video/35968175-319/emx-goes-west.html.csp,Kelly Lyon,2017-09-17 08:21:21
Oregon set to meet Wyoming,http://registerguard.com/rg/video/35960545-319/oregon-set-to-meet-wyoming.html.csp,August Frank,2017-09-14 18:40:02
The Long Road Home,http://registerguard.com/rg/video/35955623-319/the-long-road-home.html.csp,August Frank,2017-09-13 09:52:01
Officer shooting update,http://registerguard.com/rg/video/35954078-319/officer-shooting-update.html.csp,Chris Pietsch,2017-09-12 19:57:01
McKenzie residents on alert,http://registerguard.com/rg/video/35937916-319/mckenzie-residents-on-alert.html.csp,Kelly Lyon,2017-09-07 17:19:02
Saving Multnomah Falls,http://registerguard.com/rg/video/35934696-319/saving-multnomah-falls.html.csp,Chris Pietsch,2017-09-06 19:06:02
Dealing with wildfire smoke,http://registerguard.com/rg/video/35933018-319/dealing-with-wildfire-smoke.html.csp,Chris Pietsch,2017-09-06 10:39:01
Press conference from the Eagle Creek Fire,http://registerguard.com/rg/video/35931690-319/press-conference-from-the-eagle-creek-fire.html.csp,Chris Pietsch,2017-09-05 23:29:01
"Oregon Football: ""Swag Surfing""",http://registerguard.com/rg/video/35926933-319/oregon-football-swag-surfing.html.csp,Chris Pietsch,2017-09-04 14:21:01
Olden times at Fort Umpqua,http://registerguard.com/rg/video/35916661-319/olden-times-at-fort-umpqua.html.csp,Kelly Lyon The Register-Guard,2017-09-01 11:30:41
Oregon Football: Game week,http://registerguard.com/rg/video/35913704-319/oregon-football-game-week.html.csp,Chris Pietsch,2017-08-31 15:03:02
Bringing braggot into a new era,http://registerguard.com/rg/video/35902299-319/bringing-braggot-into-a-new-era.html.csp,Kelly Lyon,2017-08-28 10:47:31
"Good Walks: Sand, tree, lake and sea",http://registerguard.com/rg/video/35894514-319/good-walks-sand-tree-lake-and-sea.html.csp,Kim Gilbert,2017-08-25 15:33:00
"Lion & Owl, a moving new brunch experience",http://registerguard.com/rg/video/35887342-319/lion--owl-a-moving-new-brunch-experience.html.csp,Kelly Lyon,2017-08-23 09:22:04
Out of this world experience,http://registerguard.com/rg/video/35882044-319/out-of-this-world-experience.html.csp,Kelly Lyon,2017-08-21 14:16:01
Capturing the eclipse by balloon,http://registerguard.com/rg/video/35879148-319/capturing-the-eclipse-by-balloon.html.csp,Kelly Lyon,2017-08-20 14:15:01
Total eclipse experience,http://registerguard.com/rg/video/35877131-319/total-eclipse-experience.html.csp,Kelly Lyon,2017-08-19 17:15:01
The Press Box: Oregon football preview,http://registerguard.com/rg/video/35864316-319/press-box-oregon-football-preview.html.csp,Chris Pietsch and August Frank,2017-08-15 20:47:31
Press Box: Oregon football preview,http://registerguard.com/rg/video/35864316-319/press-box-oregon-football-preview.html.csp,Chris Pietsch and August Frank,2017-08-15 13:31:01
Coburg Car Classic,http://registerguard.com/rg/video/35853009-319/coburg-car-classic.html.csp,August Frank,2017-08-11 13:38:01
Tennis everyone?,http://registerguard.com/rg/video/35845668-319/tennis-everyone.html.csp,Kelly Lyon,2017-08-09 07:41:23
Heat Wave: How hot does a car really get?,http://registerguard.com/rg/video/35828828-319/heat-wave-how-hot-does-a-car-really-get.html.csp,Julia Reihs and Rob Romig,2017-08-03 13:32:01
Smokin’ Hot,http://registerguard.com/rg/video/35828174-319/smokin-hot.html.csp,Kelly Lyon,2017-08-03 09:22:01
Letting a river run free,http://registerguard.com/rg/video/35793282-319/letting-a-river-run-free.html.csp,Kelly Lyon,2017-07-23 08:24:21
Big Fun on Day One!,http://registerguard.com/rg/video/35786067-319/big-fun-on-day-one.html.csp,August Frank,2017-07-20 16:31:00
